"OrderID","OrderDate","ShipDate","ShipMode","CustomerID","ProductID","OrderCostPrice","OrderSellingPrice"
"1","8/11/2021","11/11/2021","Second Class","CG-12520","FUR-BO-10001798","157","262"
"2","8/11/2021","11/11/2021","Second Class","CG-12520","FUR-CH-10000454","366","732"
"3","12/6/2021","6/16/2021","Second Class","DV-13045","OFF-LA-10000240","13","15"
"4","11/10/2020","10/18/2020","Standard Class","SO-20335","FUR-TA-10000577","575","958"
"5","11/10/2020","10/18/2020","Standard Class","SO-20335","OFF-ST-10000760","13","22"
"6","9/6/2019","6/14/2019","Standard Class","BH-11710","FUR-FU-10001487","24","49"
"7","9/6/2019","6/14/2019","Standard Class","BH-11710","OFF-AR-10002833","5","7"
"8","9/6/2019","6/14/2019","Standard Class","BH-11710","TEC-PH-10002275","544","907"
"9","9/6/2019","6/14/2019","Standard Class","BH-11710","OFF-BI-10003910","17","19"
"10","9/6/2019","6/14/2019","Standard Class","BH-11710","OFF-AP-10002892","103","115"
"11","9/6/2019","6/14/2019","Standard Class","BH-11710","FUR-TA-10001539","1024","1706"
"12","9/6/2019","6/14/2019","Standard Class","BH-11710","TEC-PH-10002033","729","911"
"13","4/15/2022","4/20/2022","Standard Class","AA-10480","OFF-PA-10002365","11","16"
"14","5/12/2021","10/12/2021","Standard Class","IM-15070","OFF-BI-10003656","286","408"
"15","11/22/2020","11/26/2020","Standard Class","HP-14815","OFF-AP-10002311","55","69"
"16","11/22/2020","11/26/2020","Standard Class","HP-14815","OFF-BI-10000756","2","3"
"17","11/11/2019","11/18/2019","Standard Class","PK-19075","OFF-ST-10004186","333","666"
"18","5/13/2019","5/15/2019","Second Class","AG-10270","OFF-ST-10000107","44","56"
"19","8/27/2019","1/9/2019","Second Class","ZD-21925","OFF-AR-10003056","7","9"
"20","8/27/2019","1/9/2019","Second Class","ZD-21925","TEC-PH-10001949","107","213"
"21","8/27/2019","1/9/2019","Second Class","ZD-21925","OFF-BI-10002215","11","23"
"22","9/12/2021","12/13/2021","Standard Class","KB-16585","OFF-AR-10000246","12","19"
"23","9/12/2021","12/13/2021","Standard Class","KB-16585","OFF-AP-10001492","30","60"
"24","7/16/2022","7/18/2022","Second Class","SF-20065","FUR-CH-10002774","43","71"
"25","9/25/2020","9/30/2020","Standard Class","EB-13870","FUR-TA-10000577","627","1045"
"26","1/16/2021","1/20/2021","Second Class","EH-13945","OFF-BI-10001634","7","12"
"27","1/16/2021","1/20/2021","Second Class","EH-13945","TEC-AC-10003027","82","91"
"28","9/17/2020","9/21/2020","Standard Class","TB-21520","FUR-BO-10004834","2158","3083"
"29","9/17/2020","9/21/2020","Standard Class","TB-21520","OFF-BI-10000474","5","10"
"30","9/17/2020","9/21/2020","Standard Class","TB-21520","FUR-FU-10004848","87","124"
"31","9/17/2020","9/21/2020","Standard Class","TB-21520","OFF-EN-10001509","3","3"
"32","9/17/2020","9/21/2020","Standard Class","TB-21520","OFF-AR-10004042","52","86"
"33","9/17/2020","9/21/2020","Standard Class","TB-21520","OFF-BI-10001525","5","7"
"34","9/17/2020","9/21/2020","Standard Class","TB-21520","OFF-AR-10001683","8","16"
"35","10/19/2022","10/23/2022","Second Class","MA-17560","OFF-PA-10000249","18","29"
"36","8/12/2021","10/12/2021","First Class","GH-14485","TEC-PH-10004977","659","1098"
"37","8/12/2021","10/12/2021","First Class","GH-14485","FUR-FU-10003664","134","191"
"38","12/27/2020","12/31/2020","Standard Class","SN-20710","OFF-EN-10002986","57","113"
"39","12/27/2020","12/31/2020","Standard Class","SN-20710","FUR-BO-10002545","373","532"
"40","12/27/2020","12/31/2020","Standard Class","SN-20710","FUR-CH-10004218","191","212"
"41","12/27/2020","12/31/2020","Standard Class","SN-20710","TEC-PH-10000486","223","371"
"42","10/9/2022","9/15/2022","Standard Class","LC-16930","TEC-PH-10004093","103","147"
"43","7/17/2021","7/22/2021","Standard Class","RA-19885","OFF-ST-10003479","39","78"
"44","9/19/2022","9/23/2022","Standard Class","ES-14080","OFF-ST-10003282","76","96"
"45","11/3/2021","3/13/2021","First Class","ON-18715","TEC-AC-10000171","37","46"
"46","11/3/2021","3/13/2021","First Class","ON-18715","OFF-BI-10003291","10","17"
"47","10/20/2019","10/25/2019","Second Class","PO-18865","OFF-ST-10001713","191","212"
"48","6/20/2021","6/25/2021","Standard Class","LH-16900","TEC-AC-10002167","32","45"
"49","6/20/2021","6/25/2021","Standard Class","LH-16900","TEC-PH-10003988","20","22"
"50","4/18/2020","4/22/2020","Standard Class","DP-13000","OFF-BI-10004410","34","38"
"51","4/18/2020","4/22/2020","Standard Class","DP-13000","OFF-LA-10002762","60","75"
"52","4/18/2020","4/22/2020","Standard Class","DP-13000","FUR-FU-10001706","4","6"
"53","4/18/2020","4/22/2020","Standard Class","DP-13000","FUR-CH-10003061","54","90"
"54","11/12/2021","12/17/2021","Standard Class","JM-15265","OFF-FA-10000304","11","15"
"55","11/12/2021","12/17/2021","Standard Class","JM-15265","TEC-PH-10002447","824","1030"
"56","6/17/2021","6/18/2021","First Class","TB-21055","OFF-ST-10000604","167","209"
"57","6/17/2021","6/18/2021","First Class","TB-21055","OFF-PA-10001569","16","32"
"58","6/17/2021","6/18/2021","First Class","TB-21055","FUR-CH-10003968","160","319"
"59","6/17/2021","6/18/2021","First Class","TB-21055","OFF-PA-10000587","12","15"
"60","6/17/2021","6/18/2021","First Class","TB-21055","TEC-AC-10002167","18","30"
"61","6/17/2021","6/18/2021","First Class","TB-21055","OFF-BI-10001460","39","48"
"62","6/17/2021","6/18/2021","First Class","TB-21055","OFF-AR-10001868","1","2"
"63","11/24/2020","11/30/2020","Standard Class","KM-16720","TEC-AC-10004633","13","14"
"64","11/24/2020","11/30/2020","Standard Class","KM-16720","OFF-BI-10001078","13","26"
"65","11/24/2020","11/30/2020","Standard Class","KM-16720","OFF-PA-10003892","103","147"
"66","11/24/2020","11/30/2020","Standard Class","KM-16720","FUR-FU-10000397","64","80"
